region,n,predictor_family,term,contrast,beta,se_conventional,ci95_low_conventional,ci95_high_conventional,p_conventional,se_hc3,ci95_low_hc3,ci95_high_hc3,p_hc3,p_fdr_conventional_165,p_fdr_hc3_165
R-Pallidum,432,Pathology,Pathology_CAV,CAV vs HS,-0.0743867969105803,0.0326093459976431,-0.1384864308784321,-0.0102871629427284,0.0230443154839952,0.0284793699797796,-0.1302053363733396,-0.018568257447821,0.0090026435114689,0.3456647322599294,0.1856795224240468
L-Caudate,432,Sex,Male,Male vs female,-0.0384846512901306,0.0174128021553789,-0.0727126988135332,-0.0042566037667279,0.0276394755983332,0.0175972586160098,-0.0729746444041471,-0.0039946581761141,0.0287448194286482,0.3800427894770815,0.3529427569495761
L-Hippocampus,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0154515356827894,0.007112095867871,0.0014714104172365,0.0294316609483423,0.0303765114890036,0.0074659821569001,0.0008184795460464,0.0300845918195324,0.0384905836965035,0.3855480304373536,0.3643966171013381
L-Hippocampus,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0526372036876642,0.0247710866038565,0.0039451022144263,0.1013293051609021,0.0341800898636807,0.0253837168281711,0.0028860329106854,0.102388374464643,0.0381108786395464,0.3938804270678713,0.3643966171013381
R-Caudate,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0589042006990593,0.0279703659799773,0.0039233304481507,0.1138850709499678,0.0358073115516246,0.0292694484362924,0.0015371359165739,0.1162712654815447,0.0441692869213743,0.3938804270678713,0.3643966171013381
L-Hippocampus,432,Pathology,Pathology_CAV,CAV vs HS,-0.0599574377270819,0.0295698742058907,-0.1180824339539309,-0.0018324415002329,0.0432326488419239,0.0211781687510839,-0.101465885737718,-0.0184489897164457,0.0046388734617534,0.4260783721161824,0.1113712894322849
L-Cerebral-WM,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0375041742930724,0.018643154238871,0.0008576447121292,0.0741507038740155,0.0448973861095707,0.0201260530051273,-0.0019421647479213,0.0769505133340661,0.0623970195325383,0.4260783721161824,0.4323357716958556
L-Thalamus,432,Pathology,Pathology_FCD,FCD vs HS,-0.074455442126755,0.0372845158653768,-0.1477449775811598,-0.0011659066723503,0.0464812769581289,0.0369669973498363,-0.1469094255490219,-0.0020014587044881,0.0439984313905433,0.4260783721161824,0.3643966171013381
Brain-Stem,432,Pathology,Pathology_CAV,CAV vs HS,-0.03515997997316,0.0182528337572819,-0.0710392632560073,0.0007193033096872,0.0547510562091812,0.0161420111119955,-0.0667977403907166,-0.0035222195556033,0.0293936794485323,0.4606281856995818,0.3529427569495761
L-Amygdala,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.01301607420046,0.0067963261862501,-0.0003433480000418,0.0263754964009619,0.0561570889603825,0.006381990931138,0.0005076018257681,0.0255245465751519,0.0414000934779347,0.4606281856995818,0.3643966171013381
R-Thalamus,432,Pathology,Pathology_CAV,CAV vs HS,-0.0554815081905419,0.0298777338561364,-0.1142116588689903,0.0032486424879064,0.064024646186119,0.0274664033560383,-0.1093146695532271,-0.0016483468278567,0.0433857539082866,0.4606281856995818,0.3643966171013381
R-Cerebral-WM,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0358641512441642,0.0193846725964401,-0.002239968295929,0.0739682707842575,0.0650038196353725,0.0207592989604912,-0.0048233270626984,0.0765516295510269,0.0840566238364825,0.4606281856995818,0.5136793678896159
L-Pallidum,432,Pathology,Pathology_CAV,CAV vs HS,-0.0614590011552775,0.0333692229223284,-0.1270523122038185,0.0041343098932635,0.0662179602421842,0.0264940895217066,-0.1133864624210025,-0.0095315398895524,0.02035575988801,0.4606281856995818,0.3358700381521655
L-Thalamus,432,Operation type,Extra_temporal,Extra-temporal vs temporal,0.0488694076036789,0.0266104073304391,-0.0034382151784482,0.1011770303858062,0.0670004633744846,0.0285905028718944,-0.007166948325123,0.1049057635324809,0.0873975882761516,0.4606281856995818,0.5150215023416082
R-Cerebral-WM,432,Pathology,Pathology_CAV,CAV vs HS,-0.0397652403728163,0.0225505433866761,-0.0840924580044294,0.0045619772587967,0.0785700245746413,0.0202730024195651,-0.0794995949736574,-3.0885771975235066e-05,0.0498221843999315,0.5086633897722981,0.3784230400234933
R-Thalamus,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0133788231504602,0.0076272569080566,-0.0016139453650608,0.0283715916659813,0.0801530189944227,0.0076421598035347,-0.0015995348285674,0.0283571811294879,0.0800045008884679,0.5086633897722981,0.5136793678896159
R-Hippocampus,432,Age,Age_rank_z,"Age-band rank, per 1 SD",0.0122024768427662,0.0072653779065989,-0.0020789523059438,0.0264839059914762,0.0937980939522081,0.007279480126034,-0.0020650420304355,0.026469995715968,0.0936825564358645,0.5695997045065637,0.5227599575085342
L-Cerebral-WM,432,Pathology,Pathology_CAV,CAV vs HS,-0.0356490020948832,0.021704174717768,-0.0783125273027725,0.0070145231130061,0.1012430651446086,0.0191661066478336,-0.0732138808484907,0.0019158766587243,0.0628852031557608,0.5695997045065637,0.4323357716958556
L-Hippocampus,432,Pathology,Pathology_DNT,DNT vs HS,-0.0396109065416932,0.0246743250625711,-0.0881128055073735,0.0088909924239871,0.1091758086550291,0.0182471874059685,-0.0753747366765444,-0.0038470764068419,0.0299466581654185,0.5695997045065637,0.3529427569495761
Brain-Stem,432,Operation side,Right_side,Right vs left,0.0143353642318776,0.0089792288490254,-0.0033149524159232,0.0319856808796786,0.1111359021461707,0.0095134803966428,-0.00431071471317,0.0329814431769254,0.1318497488400785,0.5695997045065637,0.5740088092953265
L-Putamen,432,Pathology,Pathology_CAV,CAV vs HS,-0.0496261056553003,0.0311203891992246,-0.1107989226983518,0.0115467113877511,0.1115501112203891,0.0253702563063881,-0.0993508942943713,9.868298377063016e-05,0.0504564053364657,0.5695997045065637,0.3784230400234933
R-Amygdala,432,Pathology,Pathology_OTHER,Other vs HS,0.0337078685535378,0.0212015169299154,-0.0079675908337498,0.0753833279408255,0.112621492155261,0.0222961098191865,-0.0099917036874175,0.0774074407944933,0.1305777905309532,0.5695997045065637,0.5740088092953265
R-Thalamus,432,Sex,Male,Male vs female,-0.0238112650424764,0.015305064280735,-0.053896168257661,0.0062736381727081,0.1205215745865893,0.0148651687153546,-0.0529464603486831,0.0053239302637302,0.1091963045849283,0.5695997045065637,0.5630434455160369
L-Amygdala,432,Pathology,Pathology_FCD,FCD vs HS,-0.0511289849055551,0.0329282502880033,-0.1158554835852703,0.0135975137741599,0.1212458672764044,0.0333690725207603,-0.1165311652437506,0.0142731954326402,0.1254664943276029,0.5695997045065637,0.5740088092953265
R-Hippocampus,432,Region size,Region_size_z,"Reference-mask voxel count, per 1 SD",-0.0127558089656797,0.0082380238501242,-0.0289491516181071,0.0034375336867475,0.1222848686014145,0.0092017550108342,-0.0307909173814757,0.0052792994501162,0.1656746893876262,0.5695997045065637,0.6174094023284129
R-Cerebral-WM,432,Sex,Male,Male vs female,0.0190115898757449,0.0123437300961138,-0.0052522693570051,0.043275449108495,0.1242762991650684,0.0114973200463035,-0.0035227433337403,0.0415459230852303,0.09821550716827,0.5695997045065637,0.5227599575085342
R-Pallidum,432,Pathology,Pathology_DNT,DNT vs HS,-0.0404187036804641,0.026536002414519,-0.0925800699913261,0.0117426626303978,0.1284772794114685,0.0232537461764509,-0.085995208691944,0.0051578013310157,0.0821828354633653,0.5729392189970893,0.5136793678896159
